Verbatim;Categorie;Libelle;Compar
La prise en compte des priorités;Priorités;Ce qui me met en difficulté;1
La progression de l'équipe sur les divers sujets;Collectif;Ce que j'apprécie;1
La propreté des bacs;Environnement;Ce qui me met en difficulté;1
La propreté des camions;Environnement;Ce qui me met en difficulté;1
La proximité;Collectif;Ce que j'apprécie;1
La proximité avec la hiérarchie (managers, patron);Collectif;Ce que j'apprécie;1
La proximité avec les domaines artistiques et créatifs;Travail;Ce que j'apprécie;1
La proximité avec les équipes;Collectif;Ce que j'apprécie;1
La proximité avec les membres de l'entreprise et la réactivité des commerciaux.;Collectif;Ce que j'apprécie;1
la proximité entre les collaborateurs;Collectif;Ce que j'apprécie;1
La raison d'être de l'entreprise;Vision;Ce que j'apprécie;1
La réactivité de l'équipe face aux problèmes qui surviennent;Collectif;Ce que j'apprécie;1
la reconnaisance;Reconnaissance;Ce qui me met en difficulté;1
la reconnaissance croissante de notre entreprise (globalement);Reconnaissance;Ce que j'apprécie;1
La reconnaissance de l'équipe. Je trouve chouette quand on va tous au meme endroit;Reconnaissance;Ce que j'apprécie;1
La reconnaissance de ma personne;Reconnaissance;Ce que j'apprécie;1
La reconnaissance de mon travail;Reconnaissance;Ce que j'apprécie;1
La réelle bienveillance;Collectif;Ce que j'apprécie;1
La relation ;Collectif;Ce que j'apprécie;1
La relation avec Etienne : il est moteur, c'est un mentor. Les collègue en général => cohésion de groupe ;Accompagnement;Ce que j'apprécie;1
La relation avec le siège principal est positive, marquée par une ouverture d'esprit et une volonté de questionnement et de progrès.;Ouverture;Ce que j'apprécie;2
la relation avec les autres;Collectif;Ce qui me met en difficulté;1
la relation avec les clients;Relation client;Ce que j'apprécie;1
La relation avec les collègues au sein de l'équipe;Collectif;Ce que j'apprécie;1
la relation avec les salariés en situation de handicap;Collectif;Ce que j'apprécie;1
La relation avec mon N+1;Collectif;Ce que j'apprécie;1
La rémunération;Rémunération;Ce qui me met en difficulté;1
La rentabilité de l'activité;Dynamique;Ce qui me met en difficulté;1
La répartition des rôles au sein de l'organisation;Organisation;Ce qui me met en difficulté;1
LA RESOLUTION DE PROBLEMES;Travail;Ce que j'apprécie;1
La responsabilité liée à celui-ci;Travail;Ce que j'apprécie;1
La restructuration;Organisation;Ce que j'apprécie;1
La réunionite aigüe. 80% de notre temps en réunion.;Organisation;Ce qui me met en difficulté;1
La richesse des profils et des compétences;Collectif;Ce que j'apprécie;1
La richesse, la diversité des personnes. Il y a un bon esprit et ça marche. Richesse extraordinaire. Ambiance particulière. ;Collectif;Ce que j'apprécie;1
La rigueur dans l'organisation;Organisation;Ce qui me met en difficulté;1
"la road map ""recherche"" (taches incertaines)";Priorités;Ce qui me met en difficulté;1
La rotation des équipes selon les projets;Travail;Ce que j'apprécie;1
La routine;Travail;Ce qui me met en difficulté;1
La satisfaction du travail bien fait;Travail;Ce que j'apprécie;1
La sensation que personne ne sait vraiment où va l'entreprise;Vision;Ce qui me met en difficulté;1
La séparation entre vie personnelle et professionnelle;Environnement;Ce que j'apprécie;1
La SNCF;Autres;Ce qui me met en difficulté;1
La sociale ;Collectif;Ce que j'apprécie;1
la solidarité;Collectif;Ce que j'apprécie;1
La solidarité entre collègue;Collectif;Ce que j'apprécie;1
La solidarité et les valeurs de l'entreprise.;Collectif;Ce que j'apprécie;1
La souplesse des horaires (dans le respect des 7h de travail hebdomadaire)/du présentiel en cas de soucis côté vie privée.;Environnement;Ce que j'apprécie;1
La sous-traitance. Lorsque ça ne se passe pas bien. Les fuites. J'ai un tempérament à rien lâcher;Organisation;Ce qui me met en difficulté;1
La stabilité.;Organisation;Ce que j'apprécie;1
la stratégie à long terme de l'entreprise;Vision;Ce qui me met en difficulté;1
La structuration adminisatrative;Organisation;Ce qui me met en difficulté;1
La super bonne ambiance entre collègue;Collectif;Ce que j'apprécie;1
La sympathique équipe;Collectif;Ce que j'apprécie;1
La synergie de l'équipe, une bonne énergie, très positive, des échanges intéressants et de qualité (perso et pro) ;Collectif;Ce que j'apprécie;1
La taille de l'entreprise;Environnement;Ce que j'apprécie;1
la taille de l'entreprise qui permet connaitre la plupart des collègues;Collectif;Ce que j'apprécie;1
La taille de l'entreprise.;Environnement;Ce que j'apprécie;1
La team;Collectif;Ce que j'apprécie;1
la technique;Travail;Ce que j'apprécie;1
la techno utilisée;Vision;Ce que j'apprécie;1
La tendance à uniquement copier les concurrents plutôt que d'essayer d'apporter quelque chose au marché;Vision;Ce qui me met en difficulté;1
La thématique de mon travail: Apps, créativité, B2C;Travail;Ce que j'apprécie;1
la tournée attitrée;Environnement;Ce que j'apprécie;1
La transmission du savoir;Communication;Ce que j'apprécie;1
La transparence de l'information (Se sentir portée par les valeurs de l'entreprise);Ouverture;Ce qui me met en difficulté;1
La transparence et la clarté dans les relations;Ouverture;Ce que j'apprécie;1
La très bonne ambiance dans mon équipe;Collectif;Ce que j'apprécie;1
La variété de mes missions;Travail;Ce que j'apprécie;1
La variété des missions;Travail;Ce que j'apprécie;1
la variété des projets;Travail;Ce que j'apprécie;1
La variété des sujets dans mon travail;Travail;Ce que j'apprécie;1
La vision de Côme a donné de l'importance et du pouvoir, de la reconnaissance, de l'influence au technique ;Reconnaissance;Ce qui me met en difficulté;1
La vision des personnes les plus impliqué;Vision;Ce que j'apprécie;1
La volonté de bien faire;Travail;Ce que j'apprécie;1
La volonté de bien faire de la part de la direction, s'il y a des erreurs, je crois qu'elle sont de bonne foi;Ouverture;Ce que j'apprécie;1
La volonté de créer un environement agréable pour les employées;Collectif;Ce que j'apprécie;1
La volonté d'en faire une belle entreprise (même si ça n'est pas toujours appliqué);Vision;Ce que j'apprécie;1
L'absence de communication dans un projet;Communication;Ce qui me met en difficulté;1
l'absence de confiance de notre hierachie;Autonomie;Ce qui me met en difficulté;1
L'absence de pôle système (et de lead système à temps complet);Moyens;Ce qui me met en difficulté;1
L'absence d'une première version propre d'inputs (notamment PREQ) pour les décliner jusqu'en CREQ;Autres;Ce qui me met en difficulté;1
l'absenteisme;Collectif;Ce qui me met en difficulté;1
l'accès à des ressources (matériels, espaces, humaines) pour améliorer notre productivité;Moyens;Ce qui me met en difficulté;1
l'accès a l'info;Communication;Ce qui me met en difficulté;1
L'accessibilité aux informations;Communication;Ce que j'apprécie;1
L'acceuil dans l'entreprise;Collectif;Ce que j'apprécie;1
L'accompagnement en équipe, avec les moniteurs, autour des gens.;Accompagnement;Ce que j'apprécie;1
L'accueil : il me convient. Les gens gentils. La simplicité de Stephan et de Fabien, Maxime et Etienne, Julien ;Collectif;Ce que j'apprécie;1
Lack of communication between all teams;Communication;Ce qui me met en difficulté;1
Lack of Communication//Inefficient Communication between department;Communication;Ce qui me met en difficulté;1
Lack of log-term vision and strategy;Vision;Ce qui me met en difficulté;1
Lack of long-term decisions;Vision;Ce qui me met en difficulté;1
Lack of proper communication;Communication;Ce qui me met en difficulté;1
L'action et les résultats, ;Vision;Ce que j'apprécie;1
l'adaptation de l'entreprise à mes contraintes personnel;Environnement;Ce que j'apprécie;1
L'agilité/souplesse et le dynamisme qui laisse la possibilité de s'adapter, d'innover à l'échelle de l'entreprise comme à l'échelle de son poste. Tout reste à inventer, rien n'est figé.;Vision;Ce que j'apprécie;1
L'alignement au sein de l'équipe;Priorités;Ce que j'apprécie;1
L'ambiance;Collectif;Ce que j'apprécie;1
L'ambiance à la fois conviviale/fun et engagée/à fond;Collectif;Ce que j'apprécie;1
L'ambiance amicale;Collectif;Ce que j'apprécie;1
L'ambiance au sein de l'équipe;Collectif;Ce que j'apprécie;1
L'ambiance au sein de mon équipe;Collectif;Ce que j'apprécie;1
L'ambiance au seins de l'entreprise;Collectif;Ce que j'apprécie;1
L'ambiance au travail;Collectif;Ce que j'apprécie;1
L'ambiance avec les collègues de travail;Collectif;Ce que j'apprécie;1
L'ambiance avec les gens indépendamment de si dans la même squad;Collectif;Ce que j'apprécie;1
L'ambiance avec mes collègues;Collectif;Ce que j'apprécie;1
l'ambiance bon enfant;Collectif;Ce que j'apprécie;1
l'ambiance chez cedre;Collectif;Ce que j'apprécie;1
L'ambiance dans mon équipe;Collectif;Ce que j'apprécie;1
L'ambiance dans mon pôle;Collectif;Ce que j'apprécie;1
l'ambiance de l'entreprise;Collectif;Ce que j'apprécie;1
L'ambiance de l'équipe;Collectif;Ce que j'apprécie;1
L'ambiance de mes collègues;Collectif;Ce que j'apprécie;1
L'ambiance de travail;Collectif;Ce que j'apprécie;1
L'ambiance d'équipe;Collectif;Ce que j'apprécie;1
L'ambiance d'équipe / Se sentir apprécié / Avoir son travail reconnu;Collectif;Ce que j'apprécie;1
l'ambiance detendue;Collectif;Ce que j'apprécie;1
L'ambiance entre collègues;Collectif;Ce que j'apprécie;1
L'ambiance entretenue par la volonté de certaines personnes à organiser des activités;Collectif;Ce que j'apprécie;1
L'ambiance et la convivialité de l'équipe;Collectif;Ce que j'apprécie;1
L'ambiance et le peuple Atimic/Acatus.;Collectif;Ce que j'apprécie;1
l'ambiance et mes collègues;Collectif;Ce que j'apprécie;1
L'ambiance général de travail;Collectif;Ce que j'apprécie;1
l'ambiance générale;Collectif;Ce que j'apprécie;1
L'ambiance générale de Wanadev;Collectif;Ce que j'apprécie;1
L'ambiance qui règne. Très décontracté, mais pour autant, efficace au travail.;Collectif;Ce que j'apprécie;1
L'ambiance ;Collectif;Ce que j'apprécie;1
L'ambition;Vision;Ce que j'apprécie;1
L'ambition de faire un écosystème créatif;Vision;Ce que j'apprécie;1
L'ambition de la direction et les réussites atteintes quand on y croit;Vision;Ce que j'apprécie;1
l'Ambition de l'entreprise;Vision;Ce que j'apprécie;1
L'ambition et le projet de l'entreprise qui sont très stimulants.;Vision;Ce que j'apprécie;1
L'ambition qu'on a de grandir : j'ai l'impression de faire quelque chose nous meme. J'ai l'impression de participer à la croissance / création de quelque chose.;Dynamique;Ce que j'apprécie;1
l'amélioration continue en commun au sein des squads;Evolution;Ce que j'apprécie;1
L'amour de mon métier ;Travail;Ce que j'apprécie;1
L'amour de mon métier.;Travail;Ce que j'apprécie;1
l'appréciation;Reconnaissance;Ce que j'apprécie;1
l'apprentissage et l'évolution ;Evolution;Ce que j'apprécie;1
l'argent;Rémunération;Ce que j'apprécie;1
L'arrivée du covid nous a privé du convivial extra travail ;Collectif;Ce qui me met en difficulté;1
L'aspect technique de mon travail;Travail;Ce que j'apprécie;1
Lassé du travail, ne dort plus bcp, ne décroche pas le soir => ne vit que pour ça ;Pression;Ce qui me met en difficulté;1
L'assistance SAV des agences ;Collectif;Ce que j'apprécie;1
L'attention qu'on porte aux fournisseurs.;Collectif;Ce qui me met en difficulté;1
l'attitude de la direction à notre égard;Vision;Ce qui me met en difficulté;1
l'audace;Travail;Ce que j'apprécie;1
L'autonomie;Autonomie;Ce que j'apprécie;1
L'autonomie / liberté que j'ai dans les projets;Autonomie;Ce que j'apprécie;1
l'autonomie accordé;Autonomie;Ce que j'apprécie;1
l'autonomie accordée à mon projet;Autonomie;Ce que j'apprécie;1
l'autonomie au travail;Autonomie;Ce que j'apprécie;1
L'autonomie avec laquelle je travaille au sein du pole UX;Autonomie;Ce que j'apprécie;1
L'autonomie dans mon travail;Autonomie;Ce que j'apprécie;1
L'autonomie dans son travail;Autonomie;Ce que j'apprécie;1
L'autonomie de l'équipe;Collectif;Ce que j'apprécie;1
L'autonomie et la liberté d'initatiative disponible.;Autonomie;Ce que j'apprécie;1
l'autonomie et la liberté d'organiser mon travail;Autonomie;Ce que j'apprécie;1
L'autonomie et le soutient de la boite dans ce que je veux faire.;Autonomie;Ce que j'apprécie;1
L'autonomie qui m'est accordée.;Autonomie;Ce que j'apprécie;1
L'autonomie qui m'est donné;Autonomie;Ce que j'apprécie;1
L'autonomie est exceptionnelle. Au delà de ce que peut espérer un manager. Je prends l'avis de mes collaborateurs.  Je suis toujours surpris. ;Autonomie;Ce que j'apprécie;1
L'autonomie, et donc la confiance que l'on m'accorde.;Autonomie;Ce que j'apprécie;1
L'autonomie. M'a permis d'être créatif. J'avais envie de pouvoir créer. Innover. Imaginer des choses nouvelles;Autonomie;Ce que j'apprécie;1
L'aventure;Vision;Ce que j'apprécie;1
Le bon niveau des compétences des employés;Travail;Ce que j'apprécie;1
Le boulot en lui-même. Faire avancer Riccoboni. Pas mon service, mais la boite. Augmenter. J'aime ce que je fais ;Travail;Ce que j'apprécie;1
le cadre;Environnement;Ce que j'apprécie;1
le cadre de travail;Environnement;Ce que j'apprécie;1
Le cadre de travail confortable (bureaux, ambiance, soirées, snacks...);Environnement;Ce que j'apprécie;1
